Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Components,Labels,Labels,Labels,Status
Epic,Account Access,Epic 1.A Account Access — Authentication & Onboarding module.,1.A Account Access,,,Authentication & Onboarding,MVP,epic,,To Do
Epic,Operation Setup Wizard,Epic 1.B Operation Setup Wizard — Authentication & Onboarding module.,1.B Operation Setup Wizard,,,Authentication & Onboarding,MVP,epic,,To Do
Epic,Initial Roster Import,Epic 1.C Initial Roster Import — Authentication & Onboarding module.,1.C Initial Roster Import,,,Authentication & Onboarding,MVP,epic,,To Do
Epic,Plan Selection,Epic 2.A Plan Selection — Subscription & Billing module.,2.A Plan Selection,,,Subscription & Billing,MVP,epic,,To Do
Epic,Checkout & Payment,Epic 2.B Checkout & Payment — Subscription & Billing module.,2.B Checkout & Payment,,,Subscription & Billing,MVP,epic,,To Do
Epic,Usage Limits & Upgrades,Epic 2.C Usage Limits & Upgrades — Subscription & Billing module.,2.C Usage Limits & Upgrades,,,Subscription & Billing,MVP,epic,,To Do
Epic,Roster & Search,Epic 3.A Roster & Search — Inventory Management module.,3.A Roster & Search,,,Inventory Management,MVP,epic,,To Do
Epic,Add & Edit Animals,Epic 3.B Add & Edit Animals — Inventory Management module.,3.B Add & Edit Animals,,,Inventory Management,MVP,epic,,To Do
Epic,Animal Profile (System of Record),Epic 3.C Animal Profile (System of Record) — Inventory Management module.,3.C Animal Profile (System of Record),,,Inventory Management,MVP,epic,,To Do
Epic,Bulk Import,Epic 3.D Bulk Import — Inventory Management module.,3.D Bulk Import,,,Inventory Management,MVP,epic,,To Do
Epic,Bulk Actions & Lifecycle,Epic 3.E Bulk Actions & Lifecycle — Inventory Management module.,3.E Bulk Actions & Lifecycle,,,Inventory Management,MVP,epic,,To Do
Epic,Capture & Upload,Epic 4.A Capture & Upload — Media Management module.,4.A Capture & Upload,,,Media Management,MVP,epic,,To Do
Epic,Offline Reliability,Epic 4.B Offline Reliability — Media Management module.,4.B Offline Reliability,,,Media Management,MVP,epic,,To Do
Epic,Organize & Find,Epic 4.C Organize & Find — Media Management module.,4.C Organize & Find,,,Media Management,MVP,epic,,To Do
Epic,Comments,Epic 4.D Comments — Media Management module.,4.D Comments,,,Media Management,MVP,epic,,To Do
Epic,Home Dashboard,Epic 5.A Home Dashboard — Dashboard & Notifications module.,5.A Home Dashboard,,,Dashboard & Notifications,MVP,epic,,To Do
Epic,Stakeholder Notifications,Epic 5.B Stakeholder Notifications — Dashboard & Notifications module.,5.B Stakeholder Notifications,,,Dashboard & Notifications,MVP,epic,,To Do
Epic,Event Roster,Epic 6.A Event Roster — Events & Competitions module.,6.A Event Roster,,,Events & Competitions,MVP,epic,,To Do
Epic,Competition Tracking,Epic 6.B Competition Tracking — Events & Competitions module.,6.B Competition Tracking,,,Events & Competitions,MVP,epic,,To Do
Epic,Profile & Location,Epic 7.A Profile & Location — Settings & Configuration module.,7.A Profile & Location,,,Settings & Configuration,MVP,epic,,To Do
Epic,Roster Taxonomy,Epic 7.B Roster Taxonomy — Settings & Configuration module.,7.B Roster Taxonomy,,,Settings & Configuration,MVP,epic,,To Do
Epic,Partners & Permissions,Epic 7.C Partners & Permissions — Settings & Configuration module.,7.C Partners & Permissions,,,Settings & Configuration,MVP,epic,,To Do
Epic,Subscription Management,Epic 7.D Subscription Management — Settings & Configuration module.,7.D Subscription Management,,,Settings & Configuration,MVP,epic,,To Do
Story,"[S1] As a new user, I want to create an account with my email and a password, so that I can start using the product.","As a new user, I want to create an account with my email and a password, so that I can start using the product.  ||  Module: Authentication & Onboarding | Epic: 1.A Account Access | PRD Story #1 | Must-have",,1.A Account Access,High,Authentication & Onboarding,MVP,Must,PRD-S1,To Do
Story,"[S2] As a returning user, I want to log in and log out reliably on web and mobile, so that my data stays protected.","As a returning user, I want to log in and log out reliably on web and mobile, so that my data stays protected.  ||  Module: Authentication & Onboarding | Epic: 1.A Account Access | PRD Story #2 | Must-have",,1.A Account Access,High,Authentication & Onboarding,MVP,Must,PRD-S2,To Do
Story,"[S3] As a user, I want to sign up or log in with my Google account, so that I don't have to manage another password.","As a user, I want to sign up or log in with my Google account, so that I don't have to manage another password.  ||  Module: Authentication & Onboarding | Epic: 1.A Account Access | PRD Story #3 | Must-have",,1.A Account Access,High,Authentication & Onboarding,MVP,Must,PRD-S3,To Do
Story,"[S4] As a user, I want to reset my password if I forget it, so that I'm never locked out.","As a user, I want to reset my password if I forget it, so that I'm never locked out.  ||  Module: Authentication & Onboarding | Epic: 1.A Account Access | PRD Story #4 | Must-have",,1.A Account Access,High,Authentication & Onboarding,MVP,Must,PRD-S4,To Do
Story,"[S5] As a user, I want my session to stay stable across normal daily use, so that I'm not repeatedly logged out in the field.","As a user, I want my session to stay stable across normal daily use, so that I'm not repeatedly logged out in the field.  ||  Module: Authentication & Onboarding | Epic: 1.A Account Access | PRD Story #5 | Must-have",,1.A Account Access,High,Authentication & Onboarding,MVP,Must,PRD-S5,To Do
Story,"[S101] As a user, I want to sign up or log in with my Apple account, so that I have a native option on iOS.","As a user, I want to sign up or log in with my Apple account, so that I have a native option on iOS. *(Added per Solution Lab 4 + Technical Considerations; previously deferred.)*  ||  Module: Authentication & Onboarding | Epic: 1.A Account Access | PRD Story #101 | Must-have",,1.A Account Access,High,Authentication & Onboarding,MVP,Must,PRD-S101,To Do
