Title,Status,Priority,MoSCoW,Module,Epic,PRD ID,Description
"[S1] As a new user, I want to create an account with my email and a password, so that I can sta…",To Do,High,Must,Authentication & Onboarding,1.A Account Access,S1,"As a new user, I want to create an account with my email and a password, so that I can start using the product."
"[S2] As a returning user, I want to log in and log out reliably on web and mobile, so that my d…",To Do,High,Must,Authentication & Onboarding,1.A Account Access,S2,"As a returning user, I want to log in and log out reliably on web and mobile, so that my data stays protected."
"[S3] As a user, I want to sign up or log in with my Google account, so that I don't have to man…",To Do,High,Must,Authentication & Onboarding,1.A Account Access,S3,"As a user, I want to sign up or log in with my Google account, so that I don't have to manage another password."
"[S4] As a user, I want to reset my password if I forget it, so that I'm never locked out.",To Do,High,Must,Authentication & Onboarding,1.A Account Access,S4,"As a user, I want to reset my password if I forget it, so that I'm never locked out."
"[S5] As a user, I want my session to stay stable across normal daily use, so that I'm not repea…",To Do,High,Must,Authentication & Onboarding,1.A Account Access,S5,"As a user, I want my session to stay stable across normal daily use, so that I'm not repeatedly logged out in the field."
"[S101] As a user, I want to sign up or log in with my Apple account, so that I have a native opti…",To Do,High,Must,Authentication & Onboarding,1.A Account Access,S101,"As a user, I want to sign up or log in with my Apple account, so that I have a native option on iOS."
"[S6] As a user, I want a ""Remember me"" option on login, so that I stay signed in on my own devi…",To Do,Medium,Should,Authentication & Onboarding,1.A Account Access,S6,"As a user, I want a ""Remember me"" option on login, so that I stay signed in on my own device."
"[S102] As a new user, I want to confirm my email with a one-time code after signing up, so that m…",To Do,Medium,Should,Authentication & Onboarding,1.A Account Access,S102,"As a new user, I want to confirm my email with a one-time code after signing up, so that my account is verified."
"[S9] As a new Owner/Rancher, I want a short setup step asking my name, ranch/organization, and …",To Do,High,Must,Authentication & Onboarding,1.B Operation Setup Wizard,S9,"As a new Owner/Rancher, I want a short setup step asking my name, ranch/organization, and state (phone optional), so that the product is set up the right way for me."
"[S10] As a new user, I want the setup to be a clear, numbered, multi-step flow (plan → operation…",To Do,High,Must,Authentication & Onboarding,1.B Operation Setup Wizard,S10,"As a new user, I want the setup to be a clear, numbered, multi-step flow (plan → operation → inventory) with visible progress, so that I always know how far along I am."
"[S11] As a new user, I want a confirmation screen after setup (""You're in!"") that summarizes my …",To Do,High,Must,Authentication & Onboarding,1.B Operation Setup Wizard,S11,"As a new user, I want a confirmation screen after setup (""You're in!"") that summarizes my plan and points me to set up my profile, so that I feel confident the setup worked."
"[S12] As a new user, I want to be told I can add more ranches and locations later, so that I don…",To Do,Medium,Should,Authentication & Onboarding,1.B Operation Setup Wizard,S12,"As a new user, I want to be told I can add more ranches and locations later, so that I don't feel I must get everything perfect up front."
